num_experts,num_gpus,num_local_experts,topk,hidden_size,intermediate_size,batch_size_per_gpu,tokens_per_expert,up_proj_us,up_mfu,down_proj_us,down_mfu
256,1,256,8,7168,2048,32,1,1297.0,0.002905,721.665,0.002796
256,1,256,8,7168,2048,64,2,2667.0,0.004339,1353.0,0.004244
256,1,256,8,7168,2048,128,4,2672.0,0.00985,1353.0,0.009891
256,1,256,8,7168,2048,256,8,2673.0,0.021846,1354.0,0.021114
256,1,256,8,7168,2048,512,16,2671.0,0.043891,1354.0,0.043171
256,4,64,8,7168,2048,16,2,641.407,0.004672,342.313,0.004334
256,4,64,8,7168,2048,32,4,641.063,0.01046,342.304,0.009665
256,4,64,8,7168,2048,64,8,642.197,0.021993,342.454,0.021098
256,4,64,8,7168,2048,128,16,641.711,0.045822,342.41,0.042721
256,4,64,8,7168,2048,256,32,641.32,0.094291,342.508,0.085418
256,4,64,8,7168,2048,512,64,716.349,0.165931,376.375,0.155818
256,8,32,8,7168,2048,16,4,325.291,0.010125,175.974,0.009189
256,8,32,8,7168,2048,32,8,325.412,0.022887,176.222,0.019027
256,8,32,8,7168,2048,64,16,325.23,0.046711,176.189,0.042607
256,8,32,8,7168,2048,128,32,325.361,0.087913,175.983,0.082617
256,8,32,8,7168,2048,256,64,385.648,0.158727,185.697,0.154113
256,8,32,8,7168,2048,512,128,411.563,0.291625,214.079,0.287598
256,16,16,8,7168,2048,16,8,171.608,0.021267,94.028,0.019092
256,16,16,8,7168,2048,32,16,171.219,0.044364,94.116,0.036098
256,16,16,8,7168,2048,64,32,171.529,0.087357,94.145,0.075326
256,16,16,8,7168,2048,128,64,196.722,0.141932,102.24,0.137417
256,16,16,8,7168,2048,256,128,217.605,0.274484,118.536,0.257452
256,16,16,8,7168,2048,512,256,280.529,0.409861,168.1,0.357525
256,32,8,8,7168,2048,16,16,92.143,0.040896,52.656,0.040009
256,32,8,8,7168,2048,32,32,92.04,0.080917,52.812,0.073881
256,32,8,8,7168,2048,64,64,102.33,0.140631,57.79,0.140939
256,32,8,8,7168,2048,128,128,120.397,0.261482,63.444,0.239921
256,32,8,8,7168,2048,256,256,182.866,0.332469,98.973,0.29365
256,32,8,8,7168,2048,512,512,223.323,0.542485,107.076,0.464573
256,64,4,8,7168,2048,16,32,51.557,0.080572,30.752,0.065129
256,64,4,8,7168,2048,32,64,60.044,0.128483,31.904,0.117649
256,64,4,8,7168,2048,64,128,63.222,0.228092,39.983,0.214469
256,64,4,8,7168,2048,128,256,93.832,0.290607,50.987,0.322398
256,64,4,8,7168,2048,256,512,134.862,0.464012,84.623,0.347829
256,64,4,8,7168,2048,512,1024,216.346,0.59317,114.294,0.515193
256,128,2,8,7168,2048,16,64,34.223,0.119647,17.589,0.086878
256,128,2,8,7168,2048,32,128,33.489,0.169228,18.757,0.179546
256,128,2,8,7168,2048,64,256,50.615,0.342354,21.631,0.283946
256,128,2,8,7168,2048,128,512,90.889,0.320911,51.723,0.304616
256,128,2,8,7168,2048,256,1024,129.523,0.512461,67.916,0.384461
256,128,2,8,7168,2048,512,2048,214.01,0.603527,98.896,0.589557
256,256,1,8,7168,2048,16,128,20.659,0.172351,14.964,0.163587
256,256,1,8,7168,2048,32,256,25.089,0.273194,19.32,0.206565
256,256,1,8,7168,2048,64,512,29.764,0.381812,36.012,0.266956
256,256,1,8,7168,2048,128,1024,46.716,0.59323,36.92,0.368485
256,256,1,8,7168,2048,256,2048,128.666,0.506881,67.197,0.402264
256,256,1,8,7168,2048,512,4096,131.202,0.671447,97.927,0.560546
